Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-09-07,23.0926,23.2441,21.9112,22.1763,1441328926.664
2014-09-14,22.2481,23.0946,21.5393,22.7785,2061261996.0192
2014-09-21,23.0387,23.0896,22.1574,22.62,1326479405.3297
2014-09-28,22.8095,23.0666,21.8952,22.5771,1511160108.9968
2014-10-05,22.1045,22.7516,21.969,22.3209,1105220115.4305
2014-10-12,22.3956,22.94,22.0298,22.5732,1250152924.1926
2014-10-19,22.7047,22.8055,21.3279,21.8852,1599349525.5915
2014-10-26,22.0427,23.6349,22.0089,23.5751,1598499215.8518
2014-11-02,23.4943,24.2081,23.4605,24.1982,982888419.26246
2014-11-09,24.2521,24.7166,24.1374,24.5312,890376081.93159
2014-11-16,24.5332,25.6956,24.3876,25.6956,911221915.83104
2014-11-23,25.7105,26.4563,25.4912,26.21,1036705353.2505
2014-11-30,26.2988,26.9408,26.242,26.7684,808103094.83535
2014-12-07,26.7354,26.8362,25.0347,25.8831,1184702005.9737
2014-12-14,25.6757,25.8451,24.608,24.6996,1154462381.1334
2014-12-21,24.906,25.4783,23.913,25.1563,1460162215.5378
2014-12-28,25.244,25.7674,25.2021,25.6537,530368158.96841
2015-01-04,25.6059,25.8253,24.1593,24.603,675575578.8059
2015-01-11,24.3657,25.4802,23.5441,25.2091,1257999282.4858
2015-01-18,25.3417,25.3856,23.6748,23.8482,1350875992.8527
2015-01-25,24.2739,25.5959,23.962,25.4264,1174140275.4003
2015-02-01,25.5939,26.9996,24.5362,26.3686,2071961009.0601
2015-02-08,26.5669,27.1681,26.1224,26.862,1200716638.4867
2015-02-15,26.7883,28.8011,26.7614,28.7085,1340419027.8649
2015-02-22,28.8041,29.2588,28.6715,29.2588,859674013.82983
2015-03-01,29.3854,30.1819,28.6047,29.0195,1628861966.1089
2015-03-08,29.201,29.4372,28.4164,28.6018,1093013085.6032
2015-03-15,28.9118,29.2767,27.4762,27.9278,1445327703.6992
2015-03-22,27.9877,29.201,27.7594,28.4482,1180363577.0781
2015-03-29,28.7164,28.9307,27.7015,27.8461,926531195.40913
2015-04-05,28.0255,28.5768,27.8082,28.3116,717194481.33005
2015-04-12,28.1173,28.9487,28.0873,28.7115,806205311.79378
2015-04-19,28.9976,29.0474,28.1153,28.1801,757605984.22618
2015-04-26,28.3664,29.508,28.2788,29.4372,917853821.04712
2015-05-03,29.8898,30.3993,28.1431,29.1312,1863332954.9725
2015-05-10,29.2588,29.4941,27.874,28.9517,1199772814.3756
2015-05-17,28.9019,29.3874,28.3176,29.2168,918098536.21089
2015-05-24,29.1242,30.164,29.1192,30.0723,957554831.37903
2015-05-31,30.0822,30.1501,29.2986,29.5499,873200047.66725
2015-06-07,29.7682,29.812,29.1192,29.187,752908188.51821
2015-06-14,29.2468,29.5269,28.498,28.853,969778579.04425
2015-06-21,28.6067,29.1072,28.52,28.7184,875068397.20331
2015-06-28,28.9258,29.4491,28.6985,28.7543,862148382.23202
2015-07-05,28.4602,28.7981,28.2399,28.6845,665505028.88263
2015-07-12,28.3446,28.6367,27.0455,27.9707,1215324401.7969
2015-07-19,28.3664,29.4123,28.2,29.4123,834039349.39109
2015-07-26,29.7104,30.164,27.6776,28.2438,1517485625.5037
2015-08-02,27.9308,28.1103,27.4323,27.5161,844536306.99389
2015-08-09,27.563,27.8062,25.4314,26.3267,1694955022.029
2015-08-16,26.5569,27.3466,24.9828,26.4244,1514424512.8483
2015-08-23,26.4443,26.8142,24.0776,24.1065,1406389121.8655
2015-08-30,21.619,25.8203,20.965,25.8153,2195401826.9993
2015-09-06,25.5292,26.1004,24.4634,24.8981,1308471615.7486
