Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-02,56.999,57.9192,55.2745,57.1922,148235849.22023
2022-01-09,56.6604,56.7082,52.2433,53.9679,249762628.08154
2022-01-16,53.958,55.624,52.7957,53.2213,155305385.62752
2022-01-23,52.786,53.1392,50.8136,51.1299,143588209.10174
2022-01-30,50.1227,53.353,48.248,53.0212,214509068.5259
2022-02-06,52.6991,52.8358,51.123,51.7232,149742621.48851
2022-02-13,52.016,52.2869,48.493,49.5567,213135699.02994
2022-02-20,48.6198,49.5518,47.0388,47.3609,151647041.38488
2022-02-27,46.3947,47.1461,44.3064,46.5704,139392397.87849
2022-03-06,45.6921,47.5951,44.3453,47.478,169526975.33563
2022-03-13,47.0876,49.6739,45.3456,49.059,152727092.62519
2022-03-20,49.4981,53.675,49.176,53.1969,189353310.5451
2022-03-27,52.9333,53.9679,50.8986,51.5085,142065168.92746
2022-04-03,51.2645,52.7772,49.869,50.3277,137883481.96827
2022-04-10,50.5326,54.241,49.1566,53.8408,137619027.052
2022-04-17,54.1239,54.9632,51.3768,51.8403,79805545.132562
2022-04-24,51.5573,51.8306,46.746,46.9705,119397099.21329
2022-05-01,46.6972,49.5467,45.9848,47.8879,138483501.89606
2022-05-08,46.5313,48.8344,46.3166,47.8586,150406848.20578
2022-05-15,47.2145,49.9706,46.6192,49.1146,140881694.93743
2022-05-22,49.1048,51.8497,48.79,51.6235,114594297.10735
2022-05-29,51.7317,54.034,51.6334,53.0403,121655946.47792
2022-06-05,52.4599,52.6664,50.2181,52.3418,125542368.24818
2022-06-12,52.332,53.6798,49.1442,49.1638,87243117.743843
2022-06-19,48.0324,48.485,45.5334,45.7793,143819649.11303
2022-06-26,46.5566,50.8069,46.1966,50.7578,85795946.601294
2022-07-03,50.6495,52.0318,49.5968,51.4661,97754712.53428
2022-07-10,50.9151,53.0501,49.5869,52.3122,70013176.840582
2022-07-17,52.145,52.873,49.6164,50.9151,75615179.81455
2022-07-24,51.1217,51.1316,49.3705,50.4035,69069566.268574
2022-07-31,50.5118,51.9974,48.6827,50.0808,114204046.49562
2022-08-07,49.8924,51.0326,48.646,48.8513,88164053.518563
2022-08-14,48.9703,49.9618,47.4037,49.6842,116401595.63639
2022-08-21,49.5454,49.7536,47.9689,48.7323,77202294.692013
2022-08-28,48.7918,48.9752,46.3041,46.4221,77063158.313607
2022-09-04,45.9809,46.4023,44.7465,45.3116,91513218.662866
2022-09-11,45.5694,47.5822,44.9944,47.4335,68898203.678055
2022-09-18,47.6714,47.9391,45.2522,45.6388,94747125.342841
2022-09-25,45.2918,45.4901,43.1502,43.7054,87251605.552391
2022-10-02,43.4377,44.4292,43.2989,43.3881,94097235.59159
2022-10-09,43.6955,44.459,41.5646,41.9604,109802836.50163
2022-10-16,41.9901,43.0064,41.0928,42.4958,98629732.669075
2022-10-23,42.823,44.7762,42.3768,44.568,113430450.90264
2022-10-30,44.692,47.1162,44.5085,47.0269,118752929.22634
2022-11-06,46.6799,48.0085,46.1445,47.22,131782843.95779
2022-11-13,47.16,47.75,46.31,47.6,95097472
2022-11-20,47.99,49.82,47.53,48.23,101042796
2022-11-27,48.1,49.2471,47.72,49.21,48565479
2022-12-04,49.18,51.325,49.04,50.91,113912664
2022-12-11,50.91,52.84,49.18,51.72,101727129
2022-12-18,52.12,54.93,51.4,51.4,171574089
2022-12-25,51.52,52.16,50.695,51.83,66931391
2023-01-01,51.86,51.93,50.745,51.24,42455159
2023-01-08,51.01,51.6,48.92,50.92,87105576
2023-01-15,50.05,50.26,46.58,47.85,125156157
2023-01-22,46.54,46.74,44.64,45.11,115038812
2023-01-29,45.04,45.32,43.61,43.79,121343740
2023-02-05,43.79,44.46,42.7,44.06,157628266
2023-02-12,44.19,44.325,43.24,43.88,99861817
2023-02-19,43.68,44.2,42.58,43.21,90509687
2023-02-26,42.81,42.93,41.505,41.75,72661203
2023-03-05,41.44,41.73,39.805,41.15,118596446
2023-03-12,41.09,41.26,39.23,39.39,104309892
2023-03-19,39.255,40.79,39.255,40.1,163940024
2023-03-26,40.14,40.91,39.8748,40.39,90430781
2023-04-02,40.54,40.83,39.86,40.8,84257955
2023-04-09,40.69,42.22,40.65,41.5,95961179
